FISCAL_QTR_YEAR_NAME,FISCAL_WEEK_YEAR_NAME,Product Code,Product,Sessions,PDP Add to Cart Units,Units Sold,Quarter_Start_Date,Week_Start_Date
FY23Q3,FY23W28,MKRY3B/A,Watch SE (1st Gen),1.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKT03B/A,Watch SE (1st Gen),7.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKT13B/A,Watch SE (1st Gen),2.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKT23B/A,Watch SE (1st Gen),5.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKN63B/A,Series 7,4.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKT53B/A,Watch SE (1st Gen),6.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKU63B/A,Connectivity Accessories,107.0,14.0,8.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKU73ZM/A,Watch Accessories,335.0,40.0,11.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKUW3ZM/A,Watch Accessories,214.0,9.0,3.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MLL82ZM/A,Connectivity Accessories,422.0,132.0,65.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MLWK3ZM/A,AirPods Pro,337.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MLY23B/A,MacBook Air,1853.0,146.0,25.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MLY33B/A,MacBook Air,7519.0,795.0,179.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MLYU3B/A,Connectivity Accessories,63.0,3.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MLYV3ZM/A,Connectivity Accessories,103.0,12.0,2.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM0A3ZM/A,Connectivity Accessories,626.0,202.0,94.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM0D3ZM/A,iPhone Accessories,6.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM0T3ZM/A,iPhone Accessories,302.0,6.0,6.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MJQK3B/A,iPad Accessories,522.0,88.0,16.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKT63B/A,Watch SE (1st Gen),2.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKN33B/A,Series 7,27.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MM1R3ZM/A,iPhone Accessories,75.0,6.0,2.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKN03B/A,Series 7,17.0,0.0,0.0,2023-04-01,2023-04-08
FY23Q3,FY23W28,MKN23B/A,Series 7,1.0,0.0,0.0,2023-04-01,2023-04-08
